hip,magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,x,y
17527,5.66,56.29052841,24.83937337,8.87,19.03,-46.64,3.752701894,1991.25,0.6938239818569301,0.22016129074903135
17529,3.77,56.29851422,42.57854437,5.86,-14.59,1.75,3.7532342813333335,1991.25,0.4875864579780722,0.29536583715234405
17531,4.3,56.30200876,24.46737879,8.75,19.35,-41.63,3.7534672506666666,1991.25,0.69830721835475,0.2180004273322277
17534,5.72,56.31616344,-47.35945424,8.93,-3.07,-9.03,3.754410896,1991.25,1.6237483221198454,-1.0769537049011695
17543,6.26,56.34873335,-71.65823679,7.04,21.15,42.99,3.7565822233333335,1991.25,1.215444315977324,-2.2915285948524824
17558,6.45,56.40463454,38.6762189,7.09,-30.02,17.9,3.7603089693333334,1991.25,0.531044903028567,0.28112642620724265
17563,5.34,56.41846008,6.05002905,5.54,20.61,-15.61,3.7612306720000004,1991.25,0.9348655669602122,0.08385662307713139
17573,3.87,56.45663804,24.36785796,9.06,21.09,-45.03,3.7637758693333336,1991.25,0.6987454441353358,0.2157327551592393
17579,5.76,56.47693278,24.55462128,8.43,19.44,-45.36,3.7651288519999997,1991.25,0.6963671977985367,0.21653898960753737
17584,5.66,56.49685459,45.68194432,3.14,17.51,-18.44,3.7664569726666666,1991.25,0.45294668274660754,0.3033029332668221
17585,5.79,56.50339866,67.20188088,18.06,82.08,-113.37,3.7668932440000003,1991.25,0.22688419894128353,0.3464517167704584
17587,4.78,56.50971937,63.34506772,4.08,-0.94,-8.41,3.7673146246666667,1991.25,0.2662405582823673,0.341335370589335
17588,6.43,56.51203181,24.5280059,9.21,19.83,-44.38,3.7674687873333337,1991.25,0.6965152360938989,0.2160034352153855
17593,4.43,56.53542672,-12.1017353,6.56,55.59,60.03,3.769028448,1991.25,1.1907698200050745,-0.13650449689585067
17595,5.91,56.5390162,6.80365522,9.68,-1.82,-55.42,3.7692677466666664,1991.25,0.9235729985111448,0.0891185090985938
17608,4.14,56.58150135,23.94846207,9.08,21.17,-42.67,3.7721000900000003,1991.25,0.7032263298527687,0.21200369699778362
17618,5.91,56.61426555,-29.33816606,9.9,7.18,3.8,3.7742843699999997,1991.25,1.4373290528445617,-0.4824725897031223
17651,4.22,56.71245432,-23.248438,55.79,-159.86,-528.54,3.7808302879999998,1991.25,1.35020917060251,-0.34184988409043093
17678,3.26,56.80929799,-74.23924251,15.23,51.07,115.27,3.7872865326666667,1991.25,1.0829024747917293,-2.4089206274250174
17702,2.85,56.87110065,24.10524193,8.87,19.35,-43.11,3.79140671,1991.25,0.6998292777255074,0.2096670892679246
17707,6.09,56.88383173,55.92204893,7.56,27.11,-36.61,3.7922554486666664,1991.25,0.34283031379919615,0.32624002168679933
17717,5.24,56.91508473,-23.87479582,11.98,48.02,49.01,3.7943389819999997,1991.25,1.3551363890918238,-0.35793301863192584
17732,6.26,56.95431974,32.19549815,17.92,-23.69,-34.29,3.7969546493333337,1991.25,0.6034564361342946,0.24967132920381296
17734,6.21,56.95668288,-36.10582931,6.16,12.52,18.34,3.797112192,1991.25,1.5141706274018656,-0.6754957757579285
17738,5.52,56.98342907,-30.16732063,11.55,26.2,-231.06,3.7988952713333335,1991.25,1.440165071058976,-0.5080397862653298
17759,6.44,57.02732709,24.98848495,4.42,-27.81,-28.15,3.801821806,1991.25,0.6883537347081393,0.2128787943126286
17771,5.08,57.06771677,11.14336637,5.77,28.25,-29.82,3.804514451333333,1991.25,0.8615820259375228,0.11930034584780981
17772,6.18,57.07533696,50.73677203,5.49,-7.58,-1.99,3.805022464,1991.25,0.39733863672387476,0.31299178110870873
17776,5.44,57.08668426,23.42136355,9.64,19.14,-46.8,3.8057789506666664,1991.25,0.7070066535726902,0.20336764788030473
17798,5.81,57.14884582,-20.90293608,3.93,-29.81,-16.7,3.8099230546666667,1991.25,1.3083156424438713,-0.29943937060685993
17797,4.3,57.14926223,-37.62012878,20.23,75.83,-10.69,3.809950815333333,1991.25,1.5260074306865619,-0.7245766233909962
17805,5.91,57.16215134,0.22787124,6.58,65.55,-6.01,3.810810089333333,1991.25,1.007094553857944,0.015191204754969706
17832,6.47,57.23712973,23.85727243,13.44,46.92,-56.45,3.8158086486666667,1991.25,0.7009317787262844,0.2042059523250992
17846,5.95,57.283845,43.96302293,14.43,-7.03,29.53,3.818923,1991.25,0.47002248629946297,0.2919107457755933
17847,3.62,57.29054669,24.05352412,8.57,17.77,-44.7,3.8193697793333334,1991.25,0.6982824998399527,0.2047392863237693
17851,5.05,57.29668368,24.13682565,8.42,18.71,-46.74,3.819778912,1991.25,0.6972457910733578,0.2051467155677393
17854,5.4,57.30708659,70.87120237,10.02,20.91,-62.7,3.8204724393333334,1991.25,0.18952066169438198,0.34768463992852416
17858,6.46,57.33218998,57.11832721,6.14,28.3,-24.42,3.822145998666667,1991.25,0.3298300468540518,0.32614811882102257
17874,4.17,57.36367035,-36.2001125,15.54,-49.42,-56.63,3.82424469,1991.25,1.5051685335689808,-0.682086085757861
17884,4.39,57.38035594,65.52600645,3.38,-2.5,-13.98,3.825357062666667,1991.25,0.24343736854691228,0.3406742929601092
17886,5.14,57.3862602,33.09138142,10.96,-18.15,0.3,3.82575068,1991.25,0.591482143287309,0.24948627590396566
17891,5.82,57.40258833,63.29710438,14.11,-17.8,-56.65,3.826839222,1991.25,0.26611565329617287,0.3371588806334905
17900,6.17,57.43133245,23.71196331,8.58,16.5,-44.53,3.8287554966666666,1991.25,0.7016633464730737,0.2012239099226739
17921,6.05,57.47940839,22.24426286,10.14,23.88,-45.9,3.8319605593333335,1991.25,0.7191702151416624,0.19202465454849063
17932,5.65,57.5185476,44.96792105,9.41,-37.8,-26.82,3.83456984,1991.25,0.4585386846943269,0.2932991851172295
17950,6.47,57.56710121,-1.52263503,22.22,102.33,25.09,3.837806747333333,1991.25,1.02667909237223,-0.009981346457578937
17954,5.24,57.57881165,25.57964862,16.96,36.37,-117.95,3.838587443333333,1991.25,0.6785176793834773,0.21016685414666006
17959,4.59,57.58948256,71.33236777,9.73,18.27,-42.0,3.839298837333333,1991.25,0.1847971311574086,0.3472658599198548
18033,6.3,57.81607255,13.0461317,7.36,20.62,-22.18,3.854404836666667,1991.25,0.8313034376405066,0.12494918240489664
18067,6.31,57.92395956,68.50753643,3.97,15.92,-20.89,3.861597304,1991.25,0.21301347542013782,0.34268621903424495
18081,5.78,57.97381828,34.3591292,3.15,4.28,-4.22,3.864921218666667,1991.25,0.5748551688288674,0.24952182078870036
